Run, Event, px, py, pz, energy, pt
149291, 644980405, -0.0348367, -5.71681, -4.04347, 7.13098, 5.71691
149291, 644980405, -4.82842, 1.9535, 0.913165, 5.71215, 5.20863
149291, 644980405, -4.66276, 1.13753, 24.7193, 25.1977, 4.79951
149291, 644980405, 2.85137, 3.81275, -71.7594, 71.9328, 4.76102
149291, 644980405, -3.34274, -2.87413, 23.3552, 23.8004, 4.40846
149291, 644980405, 2.36475, -3.68979, 2.12896, 5.07692, 4.38253
149291, 644980405, -0.716703, -3.93375, 98.5022, 98.5885, 3.9985
149291, 644980405, -2.99666, 2.59013, -41.2453, 41.4446, 3.9609
149291, 644980405, -1.55766, 3.53187, -105.231, 105.311, 3.86011
149291, 644980405, 1.08306, 3.47198, 49.6878, 49.8332, 3.63699
149291, 644980405, 3.50659, -0.672042, -42.8171, 42.9779, 3.57041
149291, 644980405, -2.98761, 1.33407, -145.595, 145.634, 3.27194
149291, 644980405, 3.05922, -0.639532, 110.822, 110.869, 3.12535
149291, 645017309, -71.4334, 8.03702, -49.238, 88.0111, 71.8841
149291, 645017309, 49.1481, -0.108982, 324.776, 328.576, 49.1482
149291, 645017309, 39.0323, -7.53854, 0.497238, 41.2132, 39.7536
149291, 645017309, -27.7081, -8.94632, 230.827, 232.777, 29.1166
149291, 645017309, -5.10123, -7.98288, -6.01356, 11.3961, 9.47359
149291, 645017309, -1.69033, 8.37369, -145.492, 145.748, 8.54259
149291, 645017309, 6.11891, -4.62297, 5.4166, 9.586, 7.66896
149291, 645017309, 6.68151, 2.04652, 2.5861, 7.66068, 6.9879
149291, 645017309, 4.29429, 5.09558, 7.72705, 10.4093, 6.66377
149291, 645017309, -5.12611, -0.843342, -7.45312, 9.12271, 5.19502
149291, 645017309, -2.73982, -4.39503, 41.5016, 41.836, 5.17908
149291, 645017309, 5.09947, -0.716306, 20.7866, 21.4673, 5.14953
149291, 645017309, 3.98941, 3.14177, -1.14578, 5.5458, 5.078
149291, 645017309, -2.87109, 2.89734, -30.4585, 30.736, 4.07894
149291, 645017309, -3.64757, -0.224209, 12.1315, 12.7219, 3.65445
149291, 645017309, 2.39683, -2.03398, -7.23047, 7.94466, 3.14354
149291, 645017309, -0.295311, 3.09738, 2.0029, 3.79337, 3.11142
149291, 645003293, -58.6458, 64.1622, -173.451, 195.027, 86.9259
149291, 645003293, 44.8729, -49.8615, 71.0799, 98.2563, 67.0802
149291, 645003293, -30.3157, 50.8351, 285.394, 291.623, 59.1883
149291, 645003293, 2.89282, -32.587, -7.25752, 34.8128, 32.7152
149291, 645003293, 10.9281, -12.806, 3.06069, 17.575, 16.835
149291, 645003293, -9.66274, 10.4844, 3.13479, 14.6873, 14.258
149291, 645003293, 13.6706, 0.0306406, 29.0474, 32.406, 13.6706
149291, 645003293, -11.8732, 4.42551, 53.4594, 55.0831, 12.6711
149291, 645003293, 12.5024, 1.94074, -98.1052, 98.9653, 12.6522
149291, 645003293, 6.87863, 10.6156, -22.0225, 25.6229, 12.6494
149291, 645003293, -9.25099, 6.83201, -50.0712, 51.4707, 11.5003
149291, 645003293, 0.139581, 10.2502, -18.3411, 21.1809, 10.2511
149291, 645003293, 8.57292, 5.03524, 146.482, 146.844, 9.94226
149291, 645003293, 4.94011, 7.86035, 16.2085, 18.9687, 9.28384
149291, 645003293, -2.73038, -8.13722, 11.8311, 14.8521, 8.58308
149291, 645003293, 5.06441, -6.3604, -166.226, 166.44, 8.13037
149291, 645003293, 3.16091, -7.17291, -26.2737, 27.5326, 7.83849
149291, 645003293, -3.39655, -6.6588, -17.4067, 19.0831, 7.47504
149291, 645003293, 2.93884, -6.69704, 158.464, 158.646, 7.31349
149291, 645003293, -0.547048, 7.04705, 204.938, 205.066, 7.06825
149291, 645003293, 7.0344, 0.501532, 0.283901, 7.54914, 7.05225
149291, 645003293, -2.86588, -6.29766, 193.815, 193.945, 6.91909
149291, 645003293, -0.875819, 5.89828, -4.10479, 7.43202, 5.96295
149291, 645003293, -5.58789, 1.49813, 209.54, 209.626, 5.78523
149291, 645003293, -5.22536, -2.24209, -78.6793, 78.8895, 5.68606
149291, 645003293, -2.80504, -4.9213, -2.07004, 6.41019, 5.66458
149291, 645003293, 5.56463, -0.639299, 25.3074, 25.9529, 5.60123
149291, 645003293, -5.17753, -1.9453, 100.236, 100.401, 5.53092
149291, 645003293, -3.45585, 3.06849, 78.8217, 78.968, 4.62153
149291, 645003293, 4.56897, 0.329901, -64.3566, 64.5251, 4.58086
149291, 645003293, -3.88221, 2.42672, -159.136, 159.206, 4.57826
149291, 645003293, -4.03682, -1.33239, 3.46418, 5.60903, 4.25102
149291, 645003293, 0.48383, -4.18045, 31.8584, 32.1504, 4.20835
149291, 645003293, 4.04153, -0.898434, 39.1157, 39.337, 4.14019
149291, 645003293, 1.30984, -3.90376, 207.771, 207.815, 4.11764
149291, 645003293, -3.51477, -2.11911, 15.9314, 16.5025, 4.10417
149291, 645003293, -4.06579, -0.480431, -2.55988, 5.08704, 4.09407
149291, 645003293, -3.67379, 1.55612, -41.8598, 42.0623, 3.98976
149291, 645003293, -3.38131, -1.96454, -12.8814, 13.5242, 3.91058
149291, 645003293, 3.07562, -2.343, -1.66823, 4.42704, 3.86641
149291, 645003293, -1.19768, 3.54453, -21.6795, 22.0087, 3.74141
149291, 645003293, 2.99568, 1.79285, -2.1687, 4.28768, 3.49119
149291, 645003293, -3.43813, 0.375923, 29.6949, 29.9037, 3.45862
149291, 645003293, -0.625073, -3.3639, 12.4738, 12.9953, 3.42148
149291, 645003293, -1.98151, 2.73113, -56.2281, 56.3386, 3.37423
149291, 645003293, 2.78684, -1.55091, -19.3604, 19.624, 3.18933
149291, 645003293, 0.481812, 2.98298, 8.78714, 9.35476, 3.02164
149291, 645023869, 70.0976, 14.4362, -942.075, 944.828, 71.5687
149291, 645023869, -15.6829, 53.7351, 204.046, 211.836, 55.9769
149291, 645023869, -1.32718, -51.9323, 151.757, 160.808, 51.9493
149291, 645023869, -44.9396, 2.90242, -193.674, 198.984, 45.0332
149291, 645023869, -4.71726, -0.631488, 6.32951, 7.91922, 4.75934
149291, 645023869, -3.87619, -2.20054, 12.6515, 13.4503, 4.45727
149291, 645023869, -0.526431, -4.37748, 2.77638, 5.36015, 4.40902
149291, 645023869, -3.42791, -2.67488, 5.79257, 7.27455, 4.34805
149291, 644992893, -61.9004, 177.712, 672.304, 698.306, 188.184
149291, 644992893, 150.934, -82.7694, 219, 279.149, 172.139
149291, 644992893, -101.597, -107.217, 94.5315, 179.874, 147.707
149291, 644992893, 8.8499, 10.5548, 51.0839, 53.1312, 13.7741
149291, 644992893, 13.4317, -1.58285, 7.58907, 15.8197, 13.5247
149291, 644992893, -12.6022, -4.30918, 13.6973, 19.2811, 13.3186
149291, 644992893, -11.8922, 1.90636, 64.2351, 65.4161, 12.044
149291, 644992893, -8.58099, 7.18289, 11.3931, 16.231, 11.1905
149291, 644992893, -3.32684, -8.81779, 88.5603, 89.0887, 9.4245
149291, 644992893, 6.96684, -3.64422, -128.051, 128.304, 7.86239
149291, 644992893, -7.42363, 1.76209, 18.6568, 20.2893, 7.62989
149291, 644992893, 6.91641, 2.60157, 9.58951, 12.3237, 7.38952
149291, 644992893, -1.97767, -7.10567, 0.0209153, 7.42387, 7.37575
149291, 644992893, 1.27784, 5.81166, -134, 134.144, 5.95049
149291, 644992893, -4.88437, -2.86439, -115.419, 115.565, 5.66231
149291, 644992893, -4.77992, -0.163315, -239.977, 240.027, 4.7827
149291, 644992893, 1.16117, -4.40699, 101.207, 101.318, 4.55739
149291, 644992893, -0.895194, 4.46137, 2.98988, 5.5931, 4.5503
149291, 644992893, -2.21888, 3.89998, -1.79271, 4.90134, 4.48701
149291, 644992893, 2.63674, -3.34277, 8.79527, 9.81955, 4.25752
149291, 644992893, -1.02858, 4.01408, -39.7721, 40.0005, 4.14377
149291, 644992893, 3.41777, 2.27621, -26.3526, 26.6774, 4.10637
149291, 644992893, -2.43876, -3.28049, -17.748, 18.2631, 4.08769
149291, 644992893, 3.99151, -0.717983, -36.3066, 36.5351, 4.05557
149291, 644992893, 3.52705, 1.92655, 0.124838, 4.22664, 4.01892
149291, 644992893, -2.72485, -2.42044, -167.934, 167.975, 3.64463
149291, 644992893, 1.30572, 3.3775, -6.32549, 7.46138, 3.6211
149291, 644992893, -0.802988, -3.4026, 261.138, 261.162, 3.49606
149291, 644992893, -2.01155, 2.76372, -81.0091, 81.0891, 3.41826
149291, 644992893, 3.35169, 0.584767, 83.188, 83.2619, 3.40232
149291, 644992893, -0.481283, 3.32267, 29.1751, 29.3756, 3.35734
149291, 644992893, 1.31453, 3.07047, 5.29318, 6.34841, 3.34003
149291, 644992893, -0.0213047, 3.29212, 139.813, 139.855, 3.29219
149291, 644992893, -2.9775, -0.399468, -6.50417, 7.22113, 3.00418
149291, 645018621, -47.7617, -84.5425, 600.723, 608.659, 97.1011
149291, 645018621, 21.1237, 91.0478, 186.704, 209.338, 93.4661
149291, 645018621, 8.45627, 15.4408, 2.85894, 18.6425, 17.6047
149291, 645018621, 15.1171, -7.09248, -5.56791, 18.0674, 16.6982
149291, 645018621, -5.54617, 3.33266, -13.2272, 14.8579, 6.47044
149291, 645018621, -5.49504, 1.34481, -131.769, 131.898, 5.65721
149291, 645018621, 2.49538, -3.91716, -6.53634, 8.06584, 4.64446
149291, 645018621, -4.56705, 0.594222, -12.7982, 13.6483, 4.60554
149291, 645018621, 1.27689, -4.3303, -68.0182, 68.1766, 4.51464
149291, 645018621, 1.17971, -4.05986, -34.3047, 34.5677, 4.22778
149291, 645018621, 1.33354, -3.93233, 1.32768, 4.43659, 4.15229
149291, 645018621, -0.808285, -3.94304, -4.8921, 6.43123, 4.02504
149291, 645018621, -3.67881, -0.569504, 15.823, 16.2723, 3.72263
149291, 645018621, -0.778703, 3.61936, 3.44427, 5.15408, 3.70218
149291, 645018621, 3.31084, 1.2834, -27.7629, 28, 3.55088
149291, 645018621, -2.66582, 2.15604, 16.0803, 16.4618, 3.42857
149291, 645018621, 2.34936, -2.34345, -100.909, 100.968, 3.31832
149291, 645018621, -3.25359, -0.564417, -19.4996, 19.7791, 3.30218
149291, 645018621, 1.45587, 2.62764, -29.1104, 29.2715, 3.004
149291, 645049413, 0.539062, 3.54079, -107.852, 107.914, 3.58159
149291, 645049413, -3.15529, 0.646754, 58.8527, 58.948, 3.22089
149291, 645054533, -79.4526, 60.1263, 368.898, 382.459, 99.6387
149291, 645054533, 88.4791, -6.50052, 48.3741, 101.87, 88.7176
149291, 645054533, 9.17882, -26.4284, -41.2908, 50.1044, 27.9769
149291, 645054533, -0.501412, -13.1087, 22.0544, 25.8915, 13.1183
149291, 645054533, -7.99041, -8.90248, 10.7655, 16.3091, 11.9625
149291, 645054533, 7.45608, -2.68384, -1.01978, 8.1612, 7.9244
149291, 645054533, 2.86839, -3.19711, -21.1241, 21.5915, 4.29525
149291, 645054533, 1.48056, -3.32058, -0.424566, 3.82307, 3.6357
149291, 645054533, -2.12894, 2.90679, 6.94743, 7.88534, 3.60303
149291, 645054533, 1.74821, -2.97267, -8.95228, 9.64214, 3.44862
149291, 645047085, 18.0059, -126.324, 211.177, 247.804, 127.601
149291, 645047085, -14.9259, 105.564, 151.463, 186.979, 106.614
149291, 645047085, -6.99063, 11.5407, -50.9279, 52.8596, 13.4928
149291, 645047085, -9.19098, 8.40288, 24.2226, 27.4771, 12.4532
149291, 645047085, -0.141464, 11.9362, 45.0678, 46.7363, 11.937
149291, 645047085, -10.4901, -3.01178, 99.849, 100.493, 10.9139
149291, 645047085, 7.72274, -6.76479, 37.6839, 39.2321, 10.2666
149291, 645047085, 4.61007, 7.75295, 11.5579, 14.9266, 9.02003
149291, 645047085, 1.02651, 8.77808, -154.149, 154.408, 8.8379
149291, 645047085, -0.994064, -8.39405, 41.5743, 42.5073, 8.4527
149291, 645047085, 6.01233, -4.186, -345.566, 345.648, 7.32603
149291, 645047085, -0.229212, -7.0399, -2.38271, 7.82749, 7.04363
149291, 645047085, -6.67232, 1.78198, -20.3652, 21.5241, 6.90618
149291, 645047085, 4.49271, 4.74865, 19.3324, 20.5203, 6.53713
149291, 645047085, -4.59761, -3.51217, -2.04902, 6.39969, 5.78561
149291, 645047085, 4.24082, -3.85628, 9.11812, 10.9803, 5.73197
149291, 645047085, 3.18027, -3.87527, 2.48391, 5.70938, 5.01317
149291, 645047085, 3.31578, 3.6347, -0.966125, 5.23373, 4.9199
149291, 645047085, -2.61217, 3.95413, 45.5115, 45.7759, 4.73905
149291, 645047085, 4.66764, 0.350341, 6.63391, 8.30167, 4.68077
149291, 645047085, 0.726219, -4.17109, -23.6141, 24.0058, 4.23384
149291, 645047085, -3.28889, 2.53062, -92.2289, 92.3305, 4.1498
149291, 645047085, -2.22314, -3.04894, 41.126, 41.306, 3.77338
149291, 645047085, -0.587326, 3.55099, 98.0894, 98.1597, 3.59923
149291, 645047085, -0.517282, 3.48392, 2.05869, 4.18815, 3.52211
149291, 645047085, -2.00222, -2.53718, -63.7324, 63.8171, 3.23206
149291, 645047085, -2.91197, 1.37137, 125.97, 126.014, 3.21873
149291, 645047085, 0.62995, 3.11914, 136.992, 137.031, 3.18212
149291, 645047085, -2.34583, 2.14364, -3.74656, 4.94994, 3.17775
149291, 645047085, 1.53637, 2.69494, -15.3371, 15.6851, 3.10212
149291, 645047085, -2.33246, 1.99661, 1.66638, 3.58361, 3.07031
149291, 645047085, -2.02281, -2.25019, 7.86721, 8.4458, 3.02574
149291, 645047085, 2.14236, -2.11771, 126.706, 126.743, 3.01237
149291, 645057613, 123.231, 7.07153, 270.885, 299.471, 123.434
149291, 645057613, -86.7728, -13.5977, 475.371, 483.561, 87.8318
149291, 645057613, -30.3936, 7.68048, 27.1178, 41.939, 31.349
149291, 645057613, -18.821, -6.75949, 36.5723, 41.9697, 19.9981
149291, 645057613, 6.7683, 12.2166, -12.6936, 19.0987, 13.9662
149291, 645057613, -1.64359, -4.60635, 7.94495, 9.45427, 4.89079
149291, 645057613, 0.168844, 4.36781, -3.13911, 5.54012, 4.37107
149291, 645057613, 1.98139, 3.46337, 5.40358, 6.79589, 3.99009
