mul
2.04675
1
0
2
2
3.03289
2.99492
2.09569
0.99015
0
1.98615
2
2
2.00673
2
0
2.0059
1.07787
3
2.94156
0.0423625
1.08873
3.02907
2.99836
1.96411
1
2.01575
0
2
2.01407
1.01784
0.988868
2.00708
1.99809
0
1.99223
3.10548
0
1.97205
2
2.97151
2.29995
2.00351
0.18267
2.02009
2.03479
2.13748
2.00299
1.99563
3.24229
2.01432
2.05574
1
0
2
1.30135
2.00153
2.0029
1.99041
2
2
2.02444
2
2
2.03623
2
1.01599
1.02566
2
0
3
1
0.987886
2
2
2.01735
2.02648
2
2.00466
2
1.95881
2.00471
2
3.05078
2.03703
2
0
2.02562
1.94993
1.07321
1.95423
2
2.09525
2.0409
0
1.98832
4
0
1
2.00419
