Run, Event, px, py, pz, energy
146436, 90735104, -4.58084, -29.6757, 34.844, 46.3379
146436, 90735104, 9.99892, 15.7866, -8.58578, 20.9856
146436, 90735104, 3.87541, 5.13321, 60.212, 60.5787
146436, 90735104, 6.3061, 0.567568, 65.3475, 65.6652
146436, 90735104, -3.93865, 4.56098, 91.2774, 91.4899
146436, 90735104, 0.630437, 4.16086, -21.6393, 22.1106
146436, 90735104, -2.17427, 3.44329, 13.2776, 13.9268
146436, 90735104, 1.93907, -3.56649, -92.2585, 92.3511
146436, 90735104, -1.22542, 3.79646, 37.901, 38.1253
146436, 90735104, -0.89957, -3.43641, 164.054, 164.095
146436, 90735104, -3.15485, -1.58922, -3.19854, 4.83586
146436, 90735104, -0.230753, 3.22288, 6.07577, 6.94525
146436, 90735104, -3.06124, 0.929203, 10.6168, 11.1501
146436, 90735104, 0.759167, -3.09491, -12.5885, 13.0291
146436, 90735104, 2.97566, -0.638517, -8.45643, 9.01625
146436, 90735104, -2.72572, 1.33268, 0.940497, 3.35656
146436, 90735104, 2.65308, -1.43131, 16.8612, 17.1544
146436, 90745896, 3.09319, 17.905, 10.4869, 21.1638
146436, 90745896, 7.92422, -1.02079, 36.2031, 37.1449
146436, 90745896, -6.40371, -3.48522, 4.89591, 8.90351
146436, 90745896, -3.0216, -6.51738, 113.37, 113.608
146436, 90745896, -1.55579, 6.40019, 23.8664, 24.7748
146436, 90745896, 3.51617, 3.77453, -133.718, 133.825
146436, 90745896, -4.7832, -1.89704, -20.6139, 21.2965
146436, 90745896, 4.76301, 1.01497, -38.6534, 38.9752
146436, 90745896, 2.38105, 3.29456, -0.402373, 4.3894
146436, 90745896, 1.49267, 3.38362, -40.0709, 40.2574
146436, 90745896, -3.25004, 1.74827, 100.162, 100.235
146436, 90745896, -0.547634, 3.42453, -3.90916, 5.41607
146436, 90745896, -1.96271, -2.46243, -36.7527, 36.8947
146436, 90745896, -0.316183, -3.12463, -64.2984, 64.3803
146436, 90745896, 2.22456, -2.07211, 1.7632, 3.54089
146436, 90745896, -3.02244, 0.225043, -44.9397, 45.0479
146436, 90745896, 0.689194, 2.9333, 87.9346, 87.9901
146436, 90755600, 1.83268, 6.4453, -33.4817, 34.1647
146436, 90755600, 6.29094, 0.19391, -116.113, 116.299
146436, 90755600, -3.42479, -4.66406, -3.8149, 7.28026
146436, 90755600, 3.62528, 4.50686, -7.69456, 9.68515
146436, 90755600, -0.109558, -4.22421, 0.705999, 4.49717
146436, 90755600, -3.32071, -1.05439, 0.971493, 3.81962
146436, 90755600, 3.44622, -0.268213, 4.19556, 5.60485
146436, 90755600, 3.37026, -0.40958, 49.2323, 49.3596
146436, 90755600, -2.33255, -1.97356, 5.32146, 6.19572
146436, 90778200, 14.0187, -6.26194, -86.21, 87.5825
146436, 90778200, -14.9284, -0.939468, 1.28144, 15.4582
146436, 90778200, 3.02114, -5.56124, 144.278, 144.428
146436, 90778200, 6.03332, 0.443596, 84.6444, 84.8766
146436, 90778200, 0.422331, -5.6291, 325.571, 325.623
146436, 90778200, -3.21481, 3.30602, 4.24709, 6.4995
146436, 90778200, 3.47873, 1.99176, -6.19491, 7.45282
146436, 90778200, -3.14232, 1.96116, -6.40759, 7.51646
146436, 90778200, -2.78918, -2.14129, -27.7494, 27.9713
146436, 90783616, 35.4159, -0.0326624, -37.713, 52.175
146436, 90783616, -29.767, -1.40074, -55.5581, 63.4486
146436, 90783616, 9.73996, 1.83997, -1.29486, 10.2256
146436, 90783616, -4.32028, -4.7156, 44.0413, 44.5201
146436, 90783616, -1.53215, 3.22597, 3.69572, 5.25885
146436, 90783616, -1.96236, -2.4205, 54.2991, 54.3942
146436, 90783616, -2.87268, -1.17369, -125.466, 125.507
146436, 90791944, -8.09619, -6.87325, 49.7407, 50.9625
146436, 90791944, 7.99639, 5.72566, -127.501, 127.897
146436, 90791944, -6.64475, 4.23226, -17.9572, 19.741
146436, 90791944, -6.31116, 1.96323, 15.5488, 16.9573
146436, 90791944, -1.7068, -6.30185, 318.202, 318.273
146436, 90791944, -3.66645, -5.33157, -55.0919, 55.4864
146436, 90791944, 4.16291, -4.41142, -12.7395, 14.2407
146436, 90791944, 2.48888, 5.35923, 221.174, 221.258
146436, 90791944, 5.67682, -0.122921, -2.11267, 6.25352
146436, 90791944, -1.42754, -5.17988, -4.07623, 6.94183
